subject,level,subtopic,question,option_a,option_b,option_c,option_d,answer_index
math,easy,algebra,[Math | Algebra | Easy] Compute: 3 + 2 = ?,3,6,8,5,3
math,easy,algebra:sequences,[Math | Algebra → Sequences | Easy] Compute: 13 + 5 = ?,16,19,21,18,3
math,easy,algebra:sequences,[Math | Algebra → Sequences | Easy] Compute: 14 + 6 = ?,18,21,23,20,3
math,medium,algebra:sequences,[Math | Algebra → Sequences | Medium] Compute: 15 + 3 = ?,16,19,21,18,3
math,medium,algebra:sequences,[Math | Algebra → Sequences | Medium] Compute: 16 + 4 = ?,18,21,23,20,3
math,medium,algebra:sequences,[Math | Algebra → Sequences | Medium] Compute: 17 + 5 = ?,20,23,25,22,3
math,medium,algebra:sequences,[Math | Algebra → Sequences | Medium] Compute: 18 + 6 = ?,22,25,27,24,3
math,medium,algebra:sequences,[Math | Algebra → Sequences | Medium] Compute: 19 + 7 = ?,24,27,29,26,3
math,hard,algebra:sequences,[Math | Algebra → Sequences | Hard] Compute: 3 + 5 = ?,6,9,11,8,3
math,hard,algebra:sequences,[Math | Algebra → Sequences | Hard] Compute: 4 + 6 = ?,8,11,13,10,3
math,hard,algebra:sequences,[Math | Algebra → Sequences | Hard] Compute: 5 + 7 = ?,10,13,15,12,3
math,hard,algebra:sequences,[Math | Algebra → Sequences | Hard] Compute: 6 + 8 = ?,12,15,17,14,3
math,hard,algebra:sequences,[Math | Algebra → Sequences | Hard] Compute: 7 + 9 = ?,14,17,19,16,3
math,master,algebra:sequences,[Math | Algebra → Sequences | Master] Compute: 8 + 7 = ?,13,16,18,15,3
math,master,algebra:sequences,[Math | Algebra → Sequences | Master] Compute: 9 + 8 = ?,15,18,20,17,3
math,master,algebra:sequences,[Math | Algebra → Sequences | Master] Compute: 10 + 9 = ?,17,20,22,19,3
math,master,algebra:sequences,[Math | Algebra → Sequences | Master] Compute: 11 + 10 = ?,19,22,24,21,3
math,master,algebra:sequences,[Math | Algebra → Sequences | Master] Compute: 12 + 11 = ?,21,24,26,23,3
math,expert,algebra:sequences,[Math | Algebra → Sequences | Expert] Compute: 13 + 11 = ?,22,25,27,24,3
math,expert,algebra:sequences,[Math | Algebra → Sequences | Expert] Compute: 14 + 12 = ?,24,27,29,26,3
math,expert,algebra:sequences,[Math | Algebra → Sequences | Expert] Compute: 15 + 13 = ?,26,29,31,28,3
math,expert,algebra:sequences,[Math | Algebra → Sequences | Expert] Compute: 16 + 14 = ?,28,31,33,30,3
math,expert,algebra:sequences,[Math | Algebra → Sequences | Expert] Compute: 17 + 15 = ?,30,33,35,32,3
math,easy,trigonometry,[Math | Trigonometry | Easy] Compute: 18 + 2 = ?,18,21,23,20,3
math,easy,trigonometry,[Math | Trigonometry | Easy] Compute: 19 + 3 = ?,20,23,25,22,3
math,easy,trigonometry,[Math | Trigonometry | Easy] Compute: 3 + 4 = ?,5,8,10,7,3
math,easy,trigonometry,[Math | Trigonometry | Easy] Compute: 4 + 5 = ?,7,10,12,9,3
math,easy,trigonometry,[Math | Trigonometry | Easy] Compute: 5 + 6 = ?,9,12,14,11,3
math,medium,trigonometry,[Math | Trigonometry | Medium] Compute: 6 + 3 = ?,7,10,12,9,3
math,medium,trigonometry,[Math | Trigonometry | Medium] Compute: 7 + 4 = ?,9,12,14,11,3
math,medium,trigonometry,[Math | Trigonometry | Medium] Compute: 8 + 5 = ?,11,14,16,13,3
math,medium,trigonometry,[Math | Trigonometry | Medium] Compute: 9 + 6 = ?,13,16,18,15,3
math,medium,trigonometry,[Math | Trigonometry | Medium] Compute: 10 + 7 = ?,15,18,20,17,3
math,hard,trigonometry,[Math | Trigonometry | Hard] Compute: 11 + 5 = ?,14,17,19,16,3
math,hard,trigonometry,[Math | Trigonometry | Hard] Compute: 12 + 6 = ?,16,19,21,18,3
math,hard,trigonometry,[Math | Trigonometry | Hard] Compute: 13 + 7 = ?,18,21,23,20,3
math,hard,trigonometry,[Math | Trigonometry | Hard] Compute: 14 + 8 = ?,20,23,25,22,3
math,hard,trigonometry,[Math | Trigonometry | Hard] Compute: 15 + 9 = ?,22,25,27,24,3
math,master,trigonometry,[Math | Trigonometry | Master] Compute: 16 + 7 = ?,21,24,26,23,3
math,master,trigonometry,[Math | Trigonometry | Master] Compute: 17 + 8 = ?,23,26,28,25,3
math,master,trigonometry,[Math | Trigonometry | Master] Compute: 18 + 9 = ?,25,28,30,27,3
math,master,trigonometry,[Math | Trigonometry | Master] Compute: 19 + 10 = ?,27,30,32,29,3
math,master,trigonometry,[Math | Trigonometry | Master] Compute: 3 + 11 = ?,12,15,17,14,3
math,expert,trigonometry,[Math | Trigonometry | Expert] Compute: 4 + 11 = ?,13,16,18,15,3
math,expert,trigonometry,[Math | Trigonometry | Expert] Compute: 5 + 12 = ?,15,18,20,17,3
math,expert,trigonometry,[Math | Trigonometry | Expert] Compute: 6 + 13 = ?,17,20,22,19,3
math,expert,trigonometry,[Math | Trigonometry | Expert] Compute: 7 + 14 = ?,19,22,24,21,3
math,expert,trigonometry,[Math | Trigonometry | Expert] Compute: 8 + 15 = ?,21,24,26,23,3
math,easy,trigonometry:angles,[Math | Trigonometry → Angles | Easy] Compute: 9 + 2 = ?,9,12,14,11,3
math,easy,trigonometry:angles,[Math | Trigonometry → Angles | Easy] Compute: 10 + 3 = ?,11,14,16,13,3
math,easy,trigonometry:angles,[Math | Trigonometry → Angles | Easy] Compute: 11 + 4 = ?,13,16,18,15,3
math,easy,trigonometry:angles,[Math | Trigonometry → Angles | Easy] Compute: 12 + 5 = ?,15,18,20,17,3
math,easy,trigonometry:angles,[Math | Trigonometry → Angles | Easy] Compute: 13 + 6 = ?,17,20,22,19,3
math,medium,trigonometry:angles,[Math | Trigonometry → Angles | Medium] Compute: 14 + 3 = ?,15,18,20,17,3
math,medium,trigonometry:angles,[Math | Trigonometry → Angles | Medium] Compute: 15 + 4 = ?,17,20,22,19,3
math,medium,trigonometry:angles,[Math | Trigonometry → Angles | Medium] Compute: 16 + 5 = ?,19,22,24,21,3
math,medium,trigonometry:angles,[Math | Trigonometry → Angles | Medium] Compute: 17 + 6 = ?,21,24,26,23,3
math,medium,trigonometry:angles,[Math | Trigonometry → Angles | Medium] Compute: 18 + 7 = ?,23,26,28,25,3
math,hard,trigonometry:angles,[Math | Trigonometry → Angles | Hard] Compute: 19 + 5 = ?,22,25,27,24,3
math,hard,trigonometry:angles,[Math | Trigonometry → Angles | Hard] Compute: 3 + 6 = ?,7,10,12,9,3
math,hard,trigonometry:angles,[Math | Trigonometry → Angles | Hard] Compute: 4 + 7 = ?,9,12,14,11,3
math,hard,trigonometry:angles,[Math | Trigonometry → Angles | Hard] Compute: 5 + 8 = ?,11,14,16,13,3
math,hard,trigonometry:angles,[Math | Trigonometry → Angles | Hard] Compute: 6 + 9 = ?,13,16,18,15,3
math,master,trigonometry:angles,[Math | Trigonometry → Angles | Master] Compute: 7 + 7 = ?,12,15,17,14,3
math,master,trigonometry:angles,[Math | Trigonometry → Angles | Master] Compute: 8 + 8 = ?,14,17,19,16,3
math,master,trigonometry:angles,[Math | Trigonometry → Angles | Master] Compute: 9 + 9 = ?,16,19,21,18,3
math,master,trigonometry:angles,[Math | Trigonometry → Angles | Master] Compute: 10 + 10 = ?,18,21,23,20,3
math,master,trigonometry:angles,[Math | Trigonometry → Angles | Master] Compute: 11 + 11 = ?,20,23,25,22,3
math,expert,trigonometry:angles,[Math | Trigonometry → Angles | Expert] Compute: 12 + 11 = ?,21,24,26,23,3
math,expert,trigonometry:angles,[Math | Trigonometry → Angles | Expert] Compute: 13 + 12 = ?,23,26,28,25,3
math,expert,trigonometry:angles,[Math | Trigonometry → Angles | Expert] Compute: 14 + 13 = ?,25,28,30,27,3
math,expert,trigonometry:angles,[Math | Trigonometry → Angles | Expert] Compute: 15 + 14 = ?,27,30,32,29,3
math,expert,trigonometry:angles,[Math | Trigonometry → Angles | Expert] Compute: 16 + 15 = ?,29,32,34,31,3
math,easy,trigonometry:identities,[Math | Trigonometry → Identities | Easy] Compute: 17 + 2 = ?,17,20,22,19,3
math,easy,trigonometry:identities,[Math | Trigonometry → Identities | Easy] Compute: 18 + 3 = ?,19,22,24,21,3
math,easy,trigonometry:identities,[Math | Trigonometry → Identities | Easy] Compute: 19 + 4 = ?,21,24,26,23,3
math,easy,trigonometry:identities,[Math | Trigonometry → Identities | Easy] Compute: 3 + 5 = ?,6,9,11,8,3
math,easy,trigonometry:identities,[Math | Trigonometry → Identities | Easy] Compute: 4 + 6 = ?,8,11,13,10,3
math,medium,trigonometry:identities,[Math | Trigonometry → Identities | Medium] Compute: 5 + 3 = ?,6,9,11,8,3
math,medium,trigonometry:identities,[Math | Trigonometry → Identities | Medium] Compute: 6 + 4 = ?,8,11,13,10,3
math,medium,trigonometry:identities,[Math | Trigonometry → Identities | Medium] Compute: 7 + 5 = ?,10,13,15,12,3
math,medium,trigonometry:identities,[Math | Trigonometry → Identities | Medium] Compute: 8 + 6 = ?,12,15,17,14,3
math,medium,trigonometry:identities,[Math | Trigonometry → Identities | Medium] Compute: 9 + 7 = ?,14,17,19,16,3
math,hard,trigonometry:identities,[Math | Trigonometry → Identities | Hard] Compute: 10 + 5 = ?,13,16,18,15,3
math,hard,trigonometry:identities,[Math | Trigonometry → Identities | Hard] Compute: 11 + 6 = ?,15,18,20,17,3
math,hard,trigonometry:identities,[Math | Trigonometry → Identities | Hard] Compute: 12 + 7 = ?,17,20,22,19,3
math,hard,trigonometry:identities,[Math | Trigonometry → Identities | Hard] Compute: 13 + 8 = ?,19,22,24,21,3
math,hard,trigonometry:identities,[Math | Trigonometry → Identities | Hard] Compute: 14 + 9 = ?,21,24,26,23,3
math,master,trigonometry:identities,[Math | Trigonometry → Identities | Master] Compute: 15 + 7 = ?,20,23,25,22,3
math,master,trigonometry:identities,[Math | Trigonometry → Identities | Master] Compute: 16 + 8 = ?,22,25,27,24,3
math,master,trigonometry:identities,[Math | Trigonometry → Identities | Master] Compute: 17 + 9 = ?,24,27,29,26,3
math,master,trigonometry:identities,[Math | Trigonometry → Identities | Master] Compute: 18 + 10 = ?,26,29,31,28,3
math,master,trigonometry:identities,[Math | Trigonometry → Identities | Master] Compute: 19 + 11 = ?,28,31,33,30,3
math,expert,trigonometry:identities,[Math | Trigonometry → Identities | Expert] Compute: 3 + 11 = ?,12,15,17,14,3
math,expert,trigonometry:identities,[Math | Trigonometry → Identities | Expert] Compute: 4 + 12 = ?,14,17,19,16,3
math,expert,trigonometry:identities,[Math | Trigonometry → Identities | Expert] Compute: 5 + 13 = ?,16,19,21,18,3
math,expert,trigonometry:identities,[Math | Trigonometry → Identities | Expert] Compute: 6 + 14 = ?,18,21,23,20,3
math,expert,trigonometry:identities,[Math | Trigonometry → Identities | Expert] Compute: 7 + 15 = ?,20,23,25,22,3
math,easy,trigonometry:equations,[Math | Trigonometry → Equations | Easy] Compute: 8 + 2 = ?,8,11,13,10,3
math,easy,trigonometry:equations,[Math | Trigonometry → Equations | Easy] Compute: 9 + 3 = ?,10,13,15,12,3
math,easy,trigonometry:equations,[Math | Trigonometry → Equations | Easy] Compute: 10 + 4 = ?,12,15,17,14,3
math,easy,trigonometry:equations,[Math | Trigonometry → Equations | Easy] Compute: 11 + 5 = ?,14,17,19,16,3
math,easy,trigonometry:equations,[Math | Trigonometry → Equations | Easy] Compute: 12 + 6 = ?,16,19,21,18,3
math,medium,trigonometry:equations,[Math | Trigonometry → Equations | Medium] Compute: 13 + 3 = ?,14,17,19,16,3
math,medium,trigonometry:equations,[Math | Trigonometry → Equations | Medium] Compute: 14 + 4 = ?,16,19,21,18,3
math,medium,trigonometry:equations,[Math | Trigonometry → Equations | Medium] Compute: 15 + 5 = ?,18,21,23,20,3
math,medium,trigonometry:equations,[Math | Trigonometry → Equations | Medium] Compute: 16 + 6 = ?,20,23,25,22,3
math,medium,trigonometry:equations,[Math | Trigonometry → Equations | Medium] Compute: 17 + 7 = ?,22,25,27,24,3
math,hard,trigonometry:equations,[Math | Trigonometry → Equations | Hard] Compute: 18 + 5 = ?,21,24,26,23,3
math,hard,trigonometry:equations,[Math | Trigonometry → Equations | Hard] Compute: 19 + 6 = ?,23,26,28,25,3
math,hard,trigonometry:equations,[Math | Trigonometry → Equations | Hard] Compute: 3 + 7 = ?,8,11,13,10,3
math,hard,trigonometry:equations,[Math | Trigonometry → Equations | Hard] Compute: 4 + 8 = ?,10,13,15,12,3
math,hard,trigonometry:equations,[Math | Trigonometry → Equations | Hard] Compute: 5 + 9 = ?,12,15,17,14,3
math,master,trigonometry:equations,[Math | Trigonometry → Equations | Master] Compute: 6 + 7 = ?,11,14,16,13,3
math,master,trigonometry:equations,[Math | Trigonometry → Equations | Master] Compute: 7 + 8 = ?,13,16,18,15,3
math,master,trigonometry:equations,[Math | Trigonometry → Equations | Master] Compute: 8 + 9 = ?,15,18,20,17,3
math,master,trigonometry:equations,[Math | Trigonometry → Equations | Master] Compute: 9 + 10 = ?,17,20,22,19,3
math,master,trigonometry:equations,[Math | Trigonometry → Equations | Master] Compute: 10 + 11 = ?,19,22,24,21,3
math,expert,trigonometry:equations,[Math | Trigonometry → Equations | Expert] Compute: 11 + 11 = ?,20,23,25,22,3
math,expert,trigonometry:equations,[Math | Trigonometry → Equations | Expert] Compute: 12 + 12 = ?,22,25,27,24,3
math,expert,trigonometry:equations,[Math | Trigonometry → Equations | Expert] Compute: 13 + 13 = ?,24,27,29,26,3
math,expert,trigonometry:equations,[Math | Trigonometry → Equations | Expert] Compute: 14 + 14 = ?,26,29,31,28,3
math,expert,trigonometry:equations,[Math | Trigonometry → Equations | Expert] Compute: 15 + 15 = ?,28,31,33,30,3
math,easy,geometry,[Math | Geometry | Easy] Compute: 16 + 2 = ?,16,19,21,18,3
math,easy,geometry,[Math | Geometry | Easy] Compute: 17 + 3 = ?,18,21,23,20,3
math,easy,geometry,[Math | Geometry | Easy] Compute: 18 + 4 = ?,20,23,25,22,3
math,easy,geometry,[Math | Geometry | Easy] Compute: 19 + 5 = ?,22,25,27,24,3
math,easy,geometry,[Math | Geometry | Easy] Compute: 3 + 6 = ?,7,10,12,9,3
math,medium,geometry,[Math | Geometry | Medium] Compute: 4 + 3 = ?,5,8,10,7,3
math,medium,geometry,[Math | Geometry | Medium] Compute: 5 + 4 = ?,7,10,12,9,3
math,medium,geometry,[Math | Geometry | Medium] Compute: 6 + 5 = ?,9,12,14,11,3
math,medium,geometry,[Math | Geometry | Medium] Compute: 7 + 6 = ?,11,14,16,13,3
math,medium,geometry,[Math | Geometry | Medium] Compute: 8 + 7 = ?,13,16,18,15,3
math,hard,geometry,[Math | Geometry | Hard] Compute: 9 + 5 = ?,12,15,17,14,3
math,hard,geometry,[Math | Geometry | Hard] Compute: 10 + 6 = ?,14,17,19,16,3
math,hard,geometry,[Math | Geometry | Hard] Compute: 11 + 7 = ?,16,19,21,18,3
math,hard,geometry,[Math | Geometry | Hard] Compute: 12 + 8 = ?,18,21,23,20,3
math,hard,geometry,[Math | Geometry | Hard] Compute: 13 + 9 = ?,20,23,25,22,3
math,master,geometry,[Math | Geometry | Master] Compute: 14 + 7 = ?,19,22,24,21,3
math,master,geometry,[Math | Geometry | Master] Compute: 15 + 8 = ?,21,24,26,23,3
math,master,geometry,[Math | Geometry | Master] Compute: 16 + 9 = ?,23,26,28,25,3
math,master,geometry,[Math | Geometry | Master] Compute: 17 + 10 = ?,25,28,30,27,3
math,master,geometry,[Math | Geometry | Master] Compute: 18 + 11 = ?,27,30,32,29,3
math,expert,geometry,[Math | Geometry | Expert] Compute: 19 + 11 = ?,28,31,33,30,3
math,expert,geometry,[Math | Geometry | Expert] Compute: 3 + 12 = ?,13,16,18,15,3
math,expert,geometry,[Math | Geometry | Expert] Compute: 4 + 13 = ?,15,18,20,17,3
math,expert,geometry,[Math | Geometry | Expert] Compute: 5 + 14 = ?,17,20,22,19,3
math,expert,geometry,[Math | Geometry | Expert] Compute: 6 + 15 = ?,19,22,24,21,3
math,easy,geometry:triangles,[Math | Geometry → Triangles | Easy] Compute: 7 + 2 = ?,7,10,12,9,3
math,easy,geometry:triangles,[Math | Geometry → Triangles | Easy] Compute: 8 + 3 = ?,9,12,14,11,3
math,easy,geometry:triangles,[Math | Geometry → Triangles | Easy] Compute: 9 + 4 = ?,11,14,16,13,3
math,easy,geometry:triangles,[Math | Geometry → Triangles | Easy] Compute: 10 + 5 = ?,13,16,18,15,3
math,easy,geometry:triangles,[Math | Geometry → Triangles | Easy] Compute: 11 + 6 = ?,15,18,20,17,3
math,medium,geometry:triangles,[Math | Geometry → Triangles | Medium] Compute: 12 + 3 = ?,13,16,18,15,3
math,medium,geometry:triangles,[Math | Geometry → Triangles | Medium] Compute: 13 + 4 = ?,15,18,20,17,3
math,medium,geometry:triangles,[Math | Geometry → Triangles | Medium] Compute: 14 + 5 = ?,17,20,22,19,3
math,medium,geometry:triangles,[Math | Geometry → Triangles | Medium] Compute: 15 + 6 = ?,19,22,24,21,3
math,medium,geometry:triangles,[Math | Geometry → Triangles | Medium] Compute: 16 + 7 = ?,21,24,26,23,3
math,hard,geometry:triangles,[Math | Geometry → Triangles | Hard] Compute: 17 + 5 = ?,20,23,25,22,3
math,hard,geometry:triangles,[Math | Geometry → Triangles | Hard] Compute: 18 + 6 = ?,22,25,27,24,3
math,hard,geometry:triangles,[Math | Geometry → Triangles | Hard] Compute: 19 + 7 = ?,24,27,29,26,3
math,hard,geometry:triangles,[Math | Geometry → Triangles | Hard] Compute: 3 + 8 = ?,9,12,14,11,3
math,hard,geometry:triangles,[Math | Geometry → Triangles | Hard] Compute: 4 + 9 = ?,11,14,16,13,3
math,master,geometry:triangles,[Math | Geometry → Triangles | Master] Compute: 5 + 7 = ?,10,13,15,12,3
math,master,geometry:triangles,[Math | Geometry → Triangles | Master] Compute: 6 + 8 = ?,12,15,17,14,3
math,master,geometry:triangles,[Math | Geometry → Triangles | Master] Compute: 7 + 9 = ?,14,17,19,16,3
math,master,geometry:triangles,[Math | Geometry → Triangles | Master] Compute: 8 + 10 = ?,16,19,21,18,3
math,master,geometry:triangles,[Math | Geometry → Triangles | Master] Compute: 9 + 11 = ?,18,21,23,20,3
math,expert,geometry:triangles,[Math | Geometry → Triangles | Expert] Compute: 10 + 11 = ?,19,22,24,21,3
math,expert,geometry:triangles,[Math | Geometry → Triangles | Expert] Compute: 11 + 12 = ?,21,24,26,23,3
math,expert,geometry:triangles,[Math | Geometry → Triangles | Expert] Compute: 12 + 13 = ?,23,26,28,25,3
math,expert,geometry:triangles,[Math | Geometry → Triangles | Expert] Compute: 13 + 14 = ?,25,28,30,27,3
math,expert,geometry:triangles,[Math | Geometry → Triangles | Expert] Compute: 14 + 15 = ?,27,30,32,29,3
math,easy,geometry:circles,[Math | Geometry → Circles | Easy] Compute: 15 + 2 = ?,15,18,20,17,3
math,easy,geometry:circles,[Math | Geometry → Circles | Easy] Compute: 16 + 3 = ?,17,20,22,19,3
math,easy,geometry:circles,[Math | Geometry → Circles | Easy] Compute: 17 + 4 = ?,19,22,24,21,3
math,easy,geometry:circles,[Math | Geometry → Circles | Easy] Compute: 18 + 5 = ?,21,24,26,23,3
